Drone ID,Timestamp,Latitude,Longitude,Altitude,Speed,Direction,Signal Strength,Known
D130,2025-04-12 03:38:35,34.3834,-118.9134,134,44,S,-71,False
D457,2025-04-12 03:38:35,34.5793,-118.4469,66,29,E,-64,False
D535,2025-04-12 03:38:35,34.1856,-118.9418,84,37,S,-80,True
D997,2025-04-12 03:38:35,34.497,-118.8638,107,36,SW,-63,True
D916,2025-04-12 03:38:35,34.4143,-118.9735,71,74,W,-74,False
D561,2025-04-12 03:38:35,34.1425,-118.4312,121,63,NW,-78,False
D529,2025-04-12 03:38:35,34.8481,-118.785,132,76,NE,-66,False
D962,2025-04-12 03:38:35,34.6454,-118.7178,141,24,SW,-79,True
D479,2025-04-12 03:38:35,34.9004,-118.6883,77,76,SE,-71,False
D088,2025-04-12 03:38:35,34.8895,-118.8533,55,68,N,-51,True
D027,2025-04-12 03:38:35,34.3131,-118.8573,93,62,NW,-80,True
D477,2025-04-12 03:38:35,34.336,-118.9467,143,30,NW,-71,True
D861,2025-04-12 03:38:35,34.3397,-118.8919,106,76,NE,-63,True
D516,2025-04-12 03:38:35,34.891,-118.0185,140,59,E,-75,False
D268,2025-04-12 03:38:35,34.24,-118.5121,127,57,SE,-70,True
D230,2025-04-12 03:38:35,34.0898,-118.4986,87,71,W,-55,True
D747,2025-04-12 03:38:35,34.3941,-118.8112,88,62,E,-64,True
D521,2025-04-12 03:38:35,34.498,-118.3731,146,21,E,-65,True
D094,2025-04-12 03:38:35,34.8624,-118.2132,115,37,NE,-79,False
D804,2025-04-12 03:38:35,34.3651,-118.6596,107,60,SE,-70,False
D354,2025-04-12 03:38:35,34.6593,-118.1399,135,49,N,-62,True
D191,2025-04-12 03:38:35,34.6132,-118.1602,58,70,N,-59,True
D937,2025-04-12 03:38:35,34.8591,-118.2487,113,57,S,-59,True
D856,2025-04-12 03:38:35,34.8873,-118.9869,93,45,S,-52,True
D206,2025-04-12 03:38:35,34.0211,-118.6434,77,38,E,-52,False
D607,2025-04-12 03:38:35,34.1066,-118.9094,81,25,N,-58,False
D950,2025-04-12 03:38:35,34.3112,-118.0272,72,44,NE,-64,True
D174,2025-04-12 03:38:35,34.7138,-118.2314,100,43,NW,-50,True
D972,2025-04-12 03:38:35,34.2604,-118.9066,55,39,NE,-77,False
